,rank,director,director_score
0,1, Clint Eastwood,10
1,2, Sam Mendes,10
2,3, Martin Scorsese,10
3,4, Quentin Tarantino,10
4,5, Gus Van Sant,10
5,6, Alfred Hitchcock,9
6,7, Steven Spielberg,9
7,8, Woody Allen,9
8,9, Stanley Kubrick,9
9,10, James Cameron,9
10,11, David Fincher,9
11,12, Mike Nichols,8
12,13, Robert Zemeckis,8
13,14, Francis Ford Coppola,8
14,15, Jim Sheridan,8
15,16, Allen Hughes,8
16,17, Christopher Nolan,8
17,18, Edward Zwick,7
18,19, Bryan Singer,7
19,20, Billy Wilder,7
20,21, Sidney Lumet,7
21,22, Jon Favreau,7
22,23, Tim Burton,7
23,24, Roman Polanski,6
24,25, Spike Lee,6
25,26, Brian De Palma,6
26,27, Robert Rodriguez,6
27,28, Peter Berg,6
28,29, Sam Raimi,6
29,30, Oliver Stone,5
30,31, Joel Coen,5
31,32, Ridley Scott,5
32,33, Michael Mann,5
33,34, Gore Verbinski,5
34,35, Darren Aronofsky,5
35,36, M. Night Shyamalan,4
36,37, Michael Bay,4
37,38, Barry Levinson,4
38,39, Guy Ritchie,4
39,40, Lilly Wachowski,4
40,41, Ron Howard,4
41,42, Tony Scott,3
42,43, Danny Boyle,3
43,44, James Mangold,3
44,45, Steven Soderbergh,3
45,46, Brett Ratner,3
46,47, F. Gary Gray,3
47,48, Wes Craven,2
48,49, Robert Redford,2
49,50, Lewis Gilbert,2
50,51, Doug Liman,2
51,52, Ang Lee,2
52,53, Roland Emmerich,2
53,54, John Singleton,1
54,55, Joel Schumacher,1
